StudyID,Study,CaseID,Case,Participant,DRIPre,DRIPost
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,245.0,0.27057093990609826,0.5817820080158567
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,246.0,0.08055111637043555,0.24072030991022353
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,247.0,0.16798059261142728,0.46998492074954856
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,248.0,0.1788675989449231,0.10921596125790445
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,249.0,0.31876793297475214,0.49677826316237117
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,250.0,0.11687551566493859,0.20706009575248152
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,251.0,-0.20934321113489684,0.5262221482430796
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,252.0,0.11767884480862634,0.29797077501902924
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,253.0,0.2184205788601612,0.35722157401711585
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,254.0,0.17679227653513263,0.24687373842889793
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,255.0,0.2557335321628147,0.3798270936252435
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,256.0,0.36184552152145644,0.49016322242044574
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,257.0,0.21040226576222998,0.3703994139640674
7,Fremantle Bridge 21st Century,12.0,Fremantle Bridge,258.0,0.2967265929951979,0.3456400459751947
